iter	Logloss
0	0.6523862378
1	0.6151514609
2	0.5827957724
3	0.5539992882
4	0.5271658398
5	0.5055990141
6	0.4855379703
7	0.4682337941
8	0.4522020582
9	0.4367815513
10	0.4224769739
11	0.4104819687
12	0.3987397223
13	0.3882810107
14	0.3787664287
15	0.3715937169
16	0.3648527893
17	0.3574510923
18	0.3501584159
19	0.3442057795
20	0.3392811612
21	0.3341923982
22	0.3301063582
23	0.3243627434
24	0.3198865413
25	0.3157921154
26	0.3118999982
27	0.3089014768
28	0.3048910234
29	0.3021366497
30	0.2995002707
31	0.2970552504
32	0.2943611504
33	0.292057579
34	0.2901262689
35	0.2883155951
36	0.2863408966
37	0.2838670316
38	0.2823743007
39	0.2808272043
40	0.2791686737
41	0.2767556399
42	0.2751968387
43	0.2734894825
44	0.271895087
45	0.269917046
46	0.2688773097
47	0.2674009768
48	0.2663320041
49	0.2649585407
50	0.2639175458
51	0.2630531208
52	0.2619093327
53	0.2611514143
54	0.2603164115
55	0.2595056525
56	0.2587012701
57	0.2579325335
58	0.257352002
59	0.2565552331
60	0.2559742921
61	0.255486811
62	0.2548174168
63	0.2544427898
64	0.2540585485
65	0.253591324
66	0.2531173339
67	0.252648093
68	0.2522502367
69	0.2510076395
70	0.2505923
71	0.250024
72	0.2495941797
73	0.249266516
74	0.2488514099
75	0.2484432544
76	0.2481376376
77	0.2476476149
78	0.2473794411
79	0.2469997366
80	0.2466262497
81	0.2458790097
82	0.2454280428
83	0.2450701389
84	0.2445698708
85	0.2442724397
86	0.2439488384
87	0.2435045678
88	0.2430779096
89	0.2425637431
90	0.2423118188
91	0.2421307523
92	0.2418753093
93	0.2416458528
94	0.2414728269
95	0.2408227916
96	0.2405909388
97	0.2401888466
98	0.2400151725
99	0.2398130051
100	0.2394757862
101	0.2391624997
102	0.2388800238
103	0.238659565
104	0.2383826404
105	0.2380475695
106	0.2378290174
107	0.2376206782
108	0.23733434
109	0.2371044358
110	0.2369340478
111	0.2367548836
112	0.2366462112
113	0.2362888768
114	0.2361829048
115	0.2358042555
116	0.2355882684
117	0.2353772245
118	0.2351950657
119	0.2349667807
120	0.2346139669
121	0.2343751139
122	0.2342575003
123	0.2340331745
124	0.2338984643
125	0.2335166576
126	0.2334337649
127	0.2332920933
128	0.2331763652
129	0.2330442196
130	0.2328434186
131	0.2327404546
132	0.2325508699
133	0.2324029336
134	0.2321787467
135	0.2320100171
136	0.2318457951
137	0.2316031235
138	0.2313539959
139	0.2312042447
140	0.2308078897
141	0.2306927949
142	0.2305855575
143	0.2304638315
144	0.2303041739
145	0.2301373841
146	0.2299839423
147	0.2297800343
148	0.229299002
149	0.2290328243
150	0.2288238842
151	0.2285179134
152	0.2284268547
153	0.228290708
154	0.2280589152
155	0.2279726154
156	0.2278428716
157	0.2277383796
158	0.2274478461
159	0.2273371779
160	0.2271680501
161	0.2270780528
162	0.2267938671
163	0.226702461
164	0.2265835201
165	0.2264005667
166	0.2262205265
167	0.2261378529
168	0.2259458265
169	0.2258778809
170	0.2256797588
171	0.2255262644
172	0.2251028011
173	0.2248134298
174	0.2246870343
175	0.2245798523
176	0.224427945
177	0.2243661429
178	0.224118572
179	0.2239766496
180	0.2238667186
181	0.2237650958
182	0.2235322175
183	0.2234709488
184	0.2233120135
185	0.2231780973
186	0.2230683244
187	0.2229139519
188	0.2228430746
189	0.2227774835
190	0.2226381531
191	0.2225565085
192	0.2224612614
193	0.2224295669
194	0.2223437709
195	0.2222508988
196	0.2221763702
197	0.2221362282
198	0.2220000057
199	0.2219228918
200	0.2217783607
201	0.2216325835
202	0.2215049585
203	0.2214084017
204	0.2213081171
205	0.2211912903
206	0.2209163402
207	0.2208052282
208	0.2206639587
209	0.220462038
210	0.2203061146
211	0.2199790925
212	0.2198765221
213	0.2197817694
214	0.2197170667
215	0.2195415548
216	0.2193752569
217	0.2192613139
218	0.2192037117
219	0.2189309721
220	0.2187591192
221	0.2186891099
222	0.2185069607
223	0.2182993986
224	0.2182224844
225	0.2181559347
226	0.2180274796
227	0.2178548035
228	0.2177389272
229	0.2176401128
230	0.2174798825
231	0.2174245205
232	0.2173542895
233	0.2172575405
234	0.2171159521
235	0.2168960397
236	0.2168250784
237	0.2166640344
238	0.2165810843
239	0.2164926529
240	0.2162771719
241	0.2161551829
242	0.2160403983
243	0.2159019453
244	0.2157308762
245	0.2156309812
246	0.2153246396
247	0.2151433282
248	0.215057482
249	0.2149749156
250	0.2148904329
251	0.2147928501
252	0.2146760282
253	0.2146276749
254	0.214453529
255	0.2143731864
256	0.2142266478
257	0.214042698
258	0.2138818752
259	0.2138133908
260	0.2137012668
261	0.2135827041
262	0.2134675009
263	0.2133546975
264	0.2132759568
265	0.2132171306
266	0.2131480475
267	0.2130504202
268	0.2129421542
269	0.2128328065
270	0.2127421914
271	0.2126279466
272	0.2125653266
273	0.2122944544
274	0.2122046339
275	0.2121257441
276	0.2118987083
277	0.2118247396
278	0.2116861801
279	0.2116141101
280	0.2114655048
281	0.2113065865
282	0.2111489963
283	0.210950229
284	0.2108367893
285	0.2107709904
286	0.2106291313
287	0.2103893089
288	0.2103044321
289	0.21008715
290	0.2099956596
291	0.2098677092
292	0.2097729598
293	0.2094375264
294	0.2092686768
295	0.208982979
296	0.2087885948
297	0.2087411489
298	0.2085611541
299	0.2084945898
300	0.2083744906
301	0.2083027239
302	0.208150508
303	0.2079831344
